Date,Location Key,Input Order,City,State/Region,Country,Timezone,Geoname ID,Selected Drik Location,Samvatsara,Ayana,Ritu,Amanta Maasa,Paksha,Tithi,Vaara,Nakshatra,Yoga,Karana,Sooryodaya,Month Page URL,Day Page URL,Stored At,Source Run Mode,Special Events,Special Event Details,Note,Message,Master Event Count,Error
2026-10-05,geoname:1269771|city:imphal,21,Imphal,Manipur,India,Asia/Kolkata,1269771,Imphal,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,"Dashami upto 02:07 AM, Oct 06",Somawara,Pushya upto 11:09 PM,Shiva upto 09:51 AM,"Vanija upto 02:58 PM; Vishti upto 02:07 AM, Oct 06",05:08 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1269771&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=1269771&date=05/10/2026,2026-09-07T10:55:52-04:00,BACKFILL,,,,,0,
2026-10-05,geoname:1272552|city:dimapur,22,Dimapur,Nagaland,India,Asia/Kolkata,1272552,Dimapur,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,"Dashami upto 02:07 AM, Oct 06",Somawara,Pushya upto 11:09 PM,Shiva upto 09:51 AM,"Vanija upto 02:58 PM; Vishti upto 02:07 AM, Oct 06",05:09 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1272552&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=1272552&date=05/10/2026,2026-09-07T10:55:52-04:00,BACKFILL,,,,,0,
2026-10-05,geoname:1269655|city:itanagar,23,Itanagar,Arunachal Pradesh,India,Asia/Kolkata,1269655,Itanagar,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,"Dashami upto 02:07 AM, Oct 06",Somawara,Pushya upto 11:09 PM,Shiva upto 09:51 AM,"Vanija upto 02:58 PM; Vishti upto 02:07 AM, Oct 06",05:10 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1269655&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=1269655&date=05/10/2026,2026-09-07T10:55:52-04:00,BACKFILL,,,,,0,
2026-10-05,geoname:1264521|city:madurai,24,Madurai,Tamil Nadu,India,Asia/Kolkata,1264521,Madurai,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,"Dashami upto 02:07 AM, Oct 06",Somawara,Pushya upto 11:09 PM,Shiva upto 09:51 AM,"Vanija upto 02:58 PM; Vishti upto 02:07 AM, Oct 06",06:06 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1264521&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=1264521&date=05/10/2026,2026-09-07T10:55:52-04:00,BACKFILL,,,,,0,
2026-10-05,geoname:1265683|city:kumbakonam,25,Kumbakonam,Tamil Nadu,India,Asia/Kolkata,1265683,Kumbakonam,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,"Dashami upto 02:07 AM, Oct 06",Somawara,Pushya upto 11:09 PM,Shiva upto 09:51 AM,"Vanija upto 02:58 PM; Vishti upto 02:07 AM, Oct 06",06:01 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1265683&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=1265683&date=05/10/2026,2026-09-07T10:55:52-04:00,BACKFILL,,,,,0,
2026-10-05,geoname:1274256|city:chidambaram,26,Chidambaram,Tamil Nadu,India,Asia/Kolkata,1274256,Chidambaram,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,"Dashami upto 02:07 AM, Oct 06",Somawara,Pushya upto 11:09 PM,Shiva upto 09:51 AM,"Vanija upto 02:58 PM; Vishti upto 02:07 AM, Oct 06",06:00 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1274256&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=1274256&date=05/10/2026,2026-09-07T10:55:52-04:00,BACKFILL,,,,,0,
2026-10-05,geoname:1268159|city:kanchipuram,27,Kanchipuram,Tamil Nadu,India,Asia/Kolkata,1268159,Kanchipuram,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,"Dashami upto 02:07 AM, Oct 06",Somawara,Pushya upto 11:09 PM,Shiva upto 09:51 AM,"Vanija upto 02:58 PM; Vishti upto 02:07 AM, Oct 06",06:01 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1268159&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=1268159&date=05/10/2026,2026-09-07T10:55:52-04:00,BACKFILL,,,,,0,
2026-10-05,geoname:1254388|city:srirangam,28,Srirangam,Tamil Nadu,India,Asia/Kolkata,1254388,Tiruchirappalli,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,"Dashami upto 02:07 AM, Oct 06",Somawara,Pushya upto 11:09 PM,Shiva upto 09:51 AM,"Vanija upto 02:58 PM; Vishti upto 02:07 AM, Oct 06",06:04 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1254388&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=1254388&date=05/10/2026,2026-09-07T10:55:52-04:00,BACKFILL,,,,,0,
2026-10-05,geoname:1270603|city:guruvayur,29,Guruvayur,Kerala,India,Asia/Kolkata,1270603,Guruvayur,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,"Dashami upto 02:07 AM, Oct 06",Somawara,Pushya upto 11:09 PM,Shiva upto 09:51 AM,"Vanija upto 02:58 PM; Vishti upto 02:07 AM, Oct 06",06:14 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1270603&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=1270603&date=05/10/2026,2026-09-07T10:55:52-04:00,BACKFILL,,,,,0,
2026-10-05,geoname:1260546|city:pandharpur,30,Pandharpur,Maharashtra,India,Asia/Kolkata,1260546,Pandharpur,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,"Dashami upto 02:07 AM, Oct 06",Somawara,Pushya upto 11:09 PM,Shiva upto 09:51 AM,"Vanija upto 02:58 PM; Vishti upto 02:07 AM, Oct 06",06:20 AM,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1260546&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=1260546&date=05/10/2026,2026-09-07T10:55:52-04:00,BACKFILL,,,,,0,
