Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Event Family,Event Name,Event Type,Condition Code,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message,Source Module,Rule Version
geoname:1269771,geoname:1269771|city:imphal,Imphal,Manipur,India,Asia/Kolkata,1269771,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:30 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:30 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1272552,geoname:1272552|city:dimapur,Dimapur,Nagaland,India,Asia/Kolkata,1272552,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:31 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:31 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1269655,geoname:1269655|city:itanagar,Itanagar,Arunachal Pradesh,India,Asia/Kolkata,1269655,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:31 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:31 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1264521,geoname:1264521|city:madurai,Madurai,Tamil Nadu,India,Asia/Kolkata,1264521,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:27 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:27 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1265683,geoname:1265683|city:kumbakonam,Kumbakonam,Tamil Nadu,India,Asia/Kolkata,1265683,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:27 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:27 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1274256,geoname:1274256|city:chidambaram,Chidambaram,Tamil Nadu,India,Asia/Kolkata,1274256,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:28 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:28 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1268159,geoname:1268159|city:kanchipuram,Kanchipuram,Tamil Nadu,India,Asia/Kolkata,1268159,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:28 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:28 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1254388,geoname:1254388|city:srirangam,Srirangam,Tamil Nadu,India,Asia/Kolkata,1254388,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:27 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:27 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1270603,geoname:1270603|city:guruvayur,Guruvayur,Kerala,India,Asia/Kolkata,1270603,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:27 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:27 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1260546,geoname:1260546|city:pandharpur,Pandharpur,Maharashtra,India,Asia/Kolkata,1260546,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:29 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:29 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:00 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
