Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Event Family,Event Name,Event Type,Condition Code,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message,Source Module,Rule Version
geoname:1264521,geoname:1264521|city:madurai,Madurai,Tamil Nadu,India,Asia/Kolkata,1264521,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-12,COMPLETE,2026-08-12,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1265683,geoname:1265683|city:kumbakonam,Kumbakonam,Tamil Nadu,India,Asia/Kolkata,1265683,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-12,COMPLETE,2026-08-12,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1274256,geoname:1274256|city:chidambaram,Chidambaram,Tamil Nadu,India,Asia/Kolkata,1274256,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-12,COMPLETE,2026-08-12,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1268159,geoname:1268159|city:kanchipuram,Kanchipuram,Tamil Nadu,India,Asia/Kolkata,1268159,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-12,COMPLETE,2026-08-12,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1254388,geoname:1254388|city:srirangam,Srirangam,Tamil Nadu,India,Asia/Kolkata,1254388,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-12,COMPLETE,2026-08-12,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1270603,geoname:1270603|city:guruvayur,Guruvayur,Kerala,India,Asia/Kolkata,1270603,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-12,COMPLETE,2026-08-12,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1260546,geoname:1260546|city:pandharpur,Pandharpur,Maharashtra,India,Asia/Kolkata,1260546,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-12,COMPLETE,2026-08-12,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1266285,geoname:1266285|city:kolhapur,Kolhapur,Maharashtra,India,Asia/Kolkata,1266285,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-12,COMPLETE,2026-08-12,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1262180,geoname:1262180|city:nagpur,Nagpur,Maharashtra,India,Asia/Kolkata,1262180,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-12,COMPLETE,2026-08-12,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1253102,geoname:1253102|city:visakhapatnam,Visakhapatnam,Andra Pradesh,India,Asia/Kolkata,1253102,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-12,COMPLETE,2026-08-12,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:292223,geoname:292223|city:dubai,Dubai,Dubai,United Arab Emirates,Asia/Dubai,292223,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-12,COMPLETE,2026-08-12,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
