Key,Date,City,State/Region,Country,Timezone,Geoname ID,Selected Drik Location,Sunrise,Sunset,Tithi,Nakshatra,Paksha,Vaara,Amanta Maasa,Sunsign,Scan Error
GEONAME::1271476,2026-09-05,Guwahati,Assam,India,Asia/Kolkata,1271476,Guwahati,05:04 AM,05:39 PM,Navami upto 09:53 PM,Mrigashira upto 09:30 PM,Krishna Paksha,Shaniwara,Shravana,Simha,
GEONAME::1271476,2026-09-06,Guwahati,Assam,India,Asia/Kolkata,1271476,Guwahati,05:05 AM,05:38 PM,Dashami upto 07:29 PM,Ardra upto 07:52 PM,Krishna Paksha,Raviwara,Shravana,Simha,
GEONAME::1271476,2026-09-07,Guwahati,Assam,India,Asia/Kolkata,1271476,Guwahati,05:05 AM,05:36 PM,Ekadashi upto 05:03 PM,Punarvasu upto 06:14 PM,Krishna Paksha,Somawara,Shravana,Simha,
GEONAME::1256525,2026-09-01,Shiliguri,West Bengal,India,Asia/Kolkata,1256525,Shiliguri,05:16 AM,05:57 PM,Chaturthi upto 07:41 AM,"Ashwini upto 02:42 AM, Sep 02",Krishna Paksha,Mangalawara,Shravana,Simha,
GEONAME::1256525,2026-09-02,Shiliguri,West Bengal,India,Asia/Kolkata,1256525,Shiliguri,05:16 AM,05:55 PM,"Panchami upto 06:12 AM; Shashthi upto 04:25 AM, Sep 03","Bharani upto 01:43 AM, Sep 03",Krishna Paksha,Budhawara,Shravana,Simha,
GEONAME::1256525,2026-09-03,Shiliguri,West Bengal,India,Asia/Kolkata,1256525,Shiliguri,05:17 AM,05:54 PM,"Saptami upto 02:25 AM, Sep 04","Krittika upto 12:29 AM, Sep 04",Krishna Paksha,Guruwara,Shravana,Simha,
GEONAME::1256525,2026-09-04,Shiliguri,West Bengal,India,Asia/Kolkata,1256525,Shiliguri,05:17 AM,05:53 PM,"Ashtami upto 12:13 AM, Sep 05",Rohini upto 11:04 PM,Krishna Paksha,Shukrawara,Shravana,Simha,
GEONAME::1256525,2026-09-05,Shiliguri,West Bengal,India,Asia/Kolkata,1256525,Shiliguri,05:17 AM,05:52 PM,Navami upto 09:53 PM,Mrigashira upto 09:30 PM,Krishna Paksha,Shaniwara,Shravana,Simha,
GEONAME::1256525,2026-09-06,Shiliguri,West Bengal,India,Asia/Kolkata,1256525,Shiliguri,05:18 AM,05:51 PM,Dashami upto 07:29 PM,Ardra upto 07:52 PM,Krishna Paksha,Raviwara,Shravana,Simha,
GEONAME::1256525,2026-09-07,Shiliguri,West Bengal,India,Asia/Kolkata,1256525,Shiliguri,05:18 AM,05:50 PM,Ekadashi upto 05:03 PM,Punarvasu upto 06:14 PM,Krishna Paksha,Somawara,Shravana,Simha,
GEONAME::1279186,2026-09-01,Aizawl,Mizoram,India,Asia/Kolkata,1279186,Aizawl,05:01 AM,05:37 PM,Chaturthi upto 07:41 AM,"Ashwini upto 02:42 AM, Sep 02",Krishna Paksha,Mangalawara,Shravana,Simha,
GEONAME::1279186,2026-09-02,Aizawl,Mizoram,India,Asia/Kolkata,1279186,Aizawl,05:01 AM,05:36 PM,"Panchami upto 06:12 AM; Shashthi upto 04:26 AM, Sep 03","Bharani upto 01:43 AM, Sep 03",Krishna Paksha,Budhawara,Shravana,Simha,
GEONAME::1279186,2026-09-03,Aizawl,Mizoram,India,Asia/Kolkata,1279186,Aizawl,05:01 AM,05:35 PM,"Saptami upto 02:25 AM, Sep 04","Krittika upto 12:29 AM, Sep 04",Krishna Paksha,Guruwara,Shravana,Simha,
