Location Key,Date,Observed Festival,Canonical Festival,Detail URL,Sankranti Moment,Punya Kala,Maha Punya Kala,Extracted Details,Completeness Status,Scan Error
geoname:1264521|city:madurai,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:09 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:09 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:09 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:09 AM to 08:04 AM,COMPLETE,
geoname:1265683|city:kumbakonam,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:02 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:02 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:02 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:02 AM to 08:04 AM,COMPLETE,
geoname:1274256|city:chidambaram,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:01 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:01 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:01 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:01 AM to 08:04 AM,COMPLETE,
geoname:1268159|city:kanchipuram,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 05:59 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 05:59 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 05:59 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 05:59 AM to 08:04 AM,COMPLETE,
geoname:1254388|city:srirangam,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:05 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:05 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:05 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:05 AM to 08:04 AM,COMPLETE,
geoname:1270603|city:guruvayur,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:16 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:16 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:16 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:16 AM to 08:04 AM,COMPLETE,
geoname:1260546|city:pandharpur,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:12 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:12 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:12 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:12 AM to 08:04 AM,COMPLETE,
geoname:1266285|city:kolhapur,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:17 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:17 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:17 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:17 AM to 08:04 AM,COMPLETE,
geoname:1262180|city:nagpur,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 05:53 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 05:55 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 05:53 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 05:55 AM to 08:04 AM,COMPLETE,
geoname:1253102|city:visakhapatnam,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 05:40 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 05:57 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 05:40 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 05:57 AM to 08:04 AM,COMPLETE,
geoname:292223|city:dubai,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 06:34 AM,Simha Sankranti Punya Kala - 05:54 AM to 06:34 AM,Simha Sankranti Maha Punya Kala - 05:54 AM to 06:34 AM,Simha Sankranti Moment - 06:34 AM | Simha Sankranti Punya Kala - 05:54 AM to 06:34 AM | Simha Sankranti Maha Punya Kala - 05:54 AM to 06:34 AM,COMPLETE,
