Month,Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Displayed Date,Displayed Day,Displayed Weekday,Observed Festival,Normalized Festival,Matched Pattern,Canonical Festival,Engine,Discovery Enabled,Execution Enabled,Display Priority,Registry Notes,Drik URL,Event Detail URL,Event Link Status,Discovery Schema Version,Selection Basis,Discovery Event Detail URL,Completeness Status
2026-08,geoname:1264521,geoname:1264521|city:madurai,Madurai,Tamil Nadu,India,Asia/Kolkata,1264521,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1264521&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1265683,geoname:1265683|city:kumbakonam,Kumbakonam,Tamil Nadu,India,Asia/Kolkata,1265683,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1265683&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1274256,geoname:1274256|city:chidambaram,Chidambaram,Tamil Nadu,India,Asia/Kolkata,1274256,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1274256&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1268159,geoname:1268159|city:kanchipuram,Kanchipuram,Tamil Nadu,India,Asia/Kolkata,1268159,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1268159&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1254388,geoname:1254388|city:srirangam,Srirangam,Tamil Nadu,India,Asia/Kolkata,1254388,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1254388&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1270603,geoname:1270603|city:guruvayur,Guruvayur,Kerala,India,Asia/Kolkata,1270603,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1270603&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1260546,geoname:1260546|city:pandharpur,Pandharpur,Maharashtra,India,Asia/Kolkata,1260546,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1260546&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1266285,geoname:1266285|city:kolhapur,Kolhapur,Maharashtra,India,Asia/Kolkata,1266285,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1266285&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1262180,geoname:1262180|city:nagpur,Nagpur,Maharashtra,India,Asia/Kolkata,1262180,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1262180&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1253102,geoname:1253102|city:visakhapatnam,Visakhapatnam,Andra Pradesh,India,Asia/Kolkata,1253102,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253102&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
